id,Sentence,Aspect Term,polarity,from,to
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,50,66
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,108,112
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,13,33
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,44,57
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,73,87
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,115,121
2568,I love the way the entire suite of software works together.,suite of software,positive,26,43
295,The speed is incredible and I am more than satisfied.,speed,positive,4,9
2759,This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,40,49
2980,I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,21,32
1054,"-No backlit keyboard, but not an issue for me.",keyboard,conflict,12,20
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,50,58
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,negative,111,117
2587,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,negative,51,79
2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,67,74
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,32,46
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,80,86
92,The machine is slow to boot up and occasionally crashes completely.,boot up,negative,23,30
1204,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,46,53
325,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,conflict,26,33
1574,I love the operating system and the preloaded software.,operating system,positive,11,27
1574,I love the operating system and the preloaded software.,preloaded software,positive,36,54
3073,The best thing about this laptop is the price along with some of the newer features.,price,positive,40,45
3073,The best thing about this laptop is the price along with some of the newer features.,features,positive,75,83
1254,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,57,76
810,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,44,60
130,but now i have realized its a problem with this brand.,brand,negative,48,53
839,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,59,67
696,I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,58,66
1030,Also kinda loud when the fan was running.,fan,negative,25,28
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral,31,54
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,76,84
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,137,160
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,43,52
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,negative,70,77
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,neutral,122,129
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive,0,7
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,negative,27,38
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,negative,49,55
463,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,28,48
1193,"Speaking of the browser, it too has problems.",browser,negative,16,23
147,The keyboard is too slick.,keyboard,negative,4,12
1433,Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,46,56
1669,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,10,17
2462,It's just as fast with one program open as it is with sixteen open.,program,neutral,27,34
2719,"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,12,20
1224,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,120,136
2492,Amazing Quality!,Quality,positive,8,15
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral,48,54
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,71,76
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,27,35
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,neutral,41,64
915,"A month or so ago, the freaking motherboard just died.",motherboard,negative,32,43
2050,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,4,10
460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative,30,37
460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,92,100
1524,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,62,72
803,It rarely works and when it does it's incredibly slow.,works,negative,10,15
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,positive,66,75
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,neutral,95,109
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,44,60
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,84,88
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,23,31
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,65,75
1365,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative,64,72
2033,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,25,42
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral,16,22
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,98,103
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,75,85
103,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,92,119
1149,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,93,110
900,"Then, within 5 months, the charger crapped out on me.",charger,negative,27,34
1649,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,88,93
446,I love the glass touchpad.,glass touchpad,positive,11,25
1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,negative,66,76
1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,negative,81,93
2752,I am using the external speaker- sound is good.,external speaker,positive,15,31
2752,I am using the external speaker- sound is good.,sound,positive,33,38
2381,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,18,30
404,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,37,45
407,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,36,44
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive,30,42
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,negative,72,90
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive,25,28
1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,negative,80,91
1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,negative,32,39
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,12,15
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive,28,35
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,positive,60,76
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive,99,109
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,17,29
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,180,192
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,neutral,142,148
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,neutral,153,166
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,neutral,48,60
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,neutral,65,77
1057,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive,29,43
1095,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral,17,45
1718,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,neutral,39,55
1718,I eventually did the migration from my iMac backup disc which uses USB.,USB,neutral,67,70
2923,"The battery life seems to be very good, and have had no issues with it.",battery life,positive,4,16
3027,Enabling the battery timer is useless.,battery timer,negative,13,26
654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,neutral,0,12
654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,neutral,64,97
1110,Going to bring it to service today.,service,neutral,21,28
1488,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive,29,53
488,"But we had paid for bluetooth, and there was none.",bluetooth,negative,20,29
1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,neutral,22,48
1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,negative,93,98
2985,"My daughter uses it for games, email, facebook, pictures and music.",games,neutral,24,29
1573,"It is always reliable, never bugged and responds well.",responds,positive,40,48
1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,63,74
1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,neutral,114,125
1099,"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,37,45
1347,they had to replace the motherboard in April,motherboard,negative,24,35
1408,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,110,113
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative,31,56
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,negative,170,176
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive,217,219
2864,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,positive,7,16
2864,I love WIndows 7 which is a vast improvment over Vista.,Vista,negative,49,54
30,"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,0,8
474,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,negative,0,26
156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,9,23
156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,neutral,64,67
2095,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive,97,109
1722,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,50,65
2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,29,35
2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,neutral,58,78
2296,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,58,71
493,It weighed like seven pounds or something like that.,weighed,neutral,3,10
493,It weighed like seven pounds or something like that.,seven pounds,neutral,16,28
902,"2 months later, the battery went.",battery,negative,20,27
2433,You may need to special order a bag.,bag,neutral,32,35
1675,It's color is even cool.,color,positive,5,10
609,keys are all in weird places and is way too large for the way it is designed.,keys,negative,0,4
609,keys are all in weird places and is way too large for the way it is designed.,designed,negative,68,76
296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,95,100
296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,102,107
2335,The keyboard feels good and I type just fine on it.,keyboard,positive,4,12
2416,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral,76,84
1471,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,62,69
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,26,31
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive,33,40
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,positive,128,140
911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,neutral,133,143
911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,neutral,152,163
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,58,63
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,positive,65,85
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,91,100
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",cost,conflict,10,14
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,71,79
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive,84,88
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",positive,118,146
2331,) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral,19,28
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,70,73
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,75,83
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",pricetag,conflict,146,154
823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,36,39
823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,92,96
3006,lots of preloaded software.,preloaded software,positive,8,26
2941,"I wish it had a webcam though, then it would be perfect!",webcam,negative,16,22
2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,positive,51,59
2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,neutral,92,98
1686,Another thing I might add is the battery life is excellent.,battery life,positive,33,45
2091,"One drawback, I wish the keys were backlit.",keys,negative,25,29
1259,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive,200,208
2938,I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,11,17
2938,I wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative,42,47
2574,"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,45,53
2351,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,positive,100,108
526,It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,47,57
3020,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,46,70
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,61,67
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,83,89
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,positive,110,125
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,negative,4,13
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,negative,44,69
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative,94,102
1553,"Great battery, speed, display.",battery,positive,6,13
1553,"Great battery, speed, display.",speed,positive,15,20
1553,"Great battery, speed, display.",display,positive,22,29
2874,"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,positive,4,12
2385,I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive,29,41
2385,I've been impressed with the battery life and the performance for such a small amount of memory.,performance,positive,50,61
2385,I've been impressed with the battery life and the performance for such a small amount of memory.,memory,negative,89,95
1654,"It's applications are terrific, including the replacements for Microsoft office.",applications,positive,5,17
1654,"It's applications are terrific, including the replacements for Microsoft office.",Microsoft office,positive,63,79
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,negative,35,45
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,negative,47,57
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,negative,59,73
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",graphics card,negative,75,88
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,negative,21,36
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,negative,41,53
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,negative,269,272
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,negative,277,280
104,Is this partially due to the fact that it is running Windows Vista?,Windows Vista,neutral,53,66
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,negative,6,11
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,negative,22,31
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,41,53
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,negative,72,80
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,93,105
2886,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,positive,115,123
2886,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,positive,85,90
2124,Mostly I love the drag and drop feature.,drag and drop feature,positive,18,39
260,"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,negative,26,32
1172,"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,positive,46,55
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,positive,37,54
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,positive,84,89
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,positive,91,101
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,positive,107,113
386,The screen is very large and crystal clear with amazing colors and resolution.,screen,positive,4,10
386,The screen is very large and crystal clear with amazing colors and resolution.,colors,positive,56,62
386,The screen is very large and crystal clear with amazing colors and resolution.,resolution,positive,67,77
1357,"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,negative,62,69
2605,"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,positive,13,19
1742,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,negative,0,4
1742,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",external monitor,neutral,76,92
2578,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,negative,23,40
2578,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,negative,74,82
942,  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,negative,82,87
2740,"It has no camera but, I can always buy and install one easy.",camera,conflict,10,16
311,"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,positive,4,11
13,The AMD Turin processor seems to always perform so much better than Intel.,AMD Turin processor,positive,4,23
13,The AMD Turin processor seems to always perform so much better than Intel.,Intel,negative,68,73
1852,  After that the said it was under warranty.,warranty,neutral,35,43
2708,The start menu is not the easiest thing to navigate due to the stacking.,start menu,negative,4,14
2708,The start menu is not the easiest thing to navigate due to the stacking.,navigate,negative,43,51
1566,Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,negative,54,77
540,The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,negative,4,16
878,"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",tech store,negative,4,14
2388,Really like the textured surface which shows no fingerprints.,surface,positive,25,32
3074,The screen is bright and the keyboard is nice;,screen,positive,4,10
3074,The screen is bright and the keyboard is nice;,keyboard,positive,29,37
2534,But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife,positive,31,36
2534,But the machine is awesome and iLife is great and I love Snow Leopard X.,Snow Leopard X,positive,57,71
2185,"High price tag, however.",price tag,negative,5,14
2632,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS,positive,23,29
2675,"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",sound output quality,negative,52,72
392,I custom ordered the machine from HP and could NOT understand the techie due to his accent.,techie,negative,66,72
1551,It is easy to use and lightweight.,use,positive,14,17
2698,I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help,positive,10,29
340,They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,service life,positive,24,36
2918,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,ports,neutral,68,73
2918,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,processor,neutral,103,112
2939,This laptop is a great price and has a sleek look.,price,positive,23,28
2939,This laptop is a great price and has a sleek look.,look,positive,45,49
1958,I especially like the keyboard which has chiclet type keys.,keyboard,positive,22,30
1958,I especially like the keyboard which has chiclet type keys.,keys,positive,54,58
358,Small screen somewhat limiting but great for travel.,screen,conflict,6,12
1355,Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,negative,39,46
3021,"For the not so good, I got the stock screen - which is VERY glossy.",stock screen,negative,31,43
2415,The gray color was a good choice.,gray color,positive,4,14
2696,I would like to have volume buttons rather than the adjustment that is on the front.,volume buttons,negative,21,35
2916,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor,negative,4,13
2916,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,negative,94,103
4,I bought a protector for my key pad and it works great :),protector,neutral,11,20
4,I bought a protector for my key pad and it works great :),key pad,positive,28,35
2260,The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,positive,4,46
1376,It seems they could have updated XP and done without creating Vista.,XP,positive,33,35
1376,It seems they could have updated XP and done without creating Vista.,Vista,negative,62,67
936,"  It is easy to use, fast and has great graphics for the money.",graphics,positive,40,48
936,"  It is easy to use, fast and has great graphics for the money.",use,positive,16,19
2323,I like how the Mac OS is so simple and easy to use.,Mac OS,positive,15,21
